Date,Time,Name,Status
10/10/2019,20:30:00,SOL-TNK-5,ON
10/11/2019,02:45:00,SOL-TNK-5,OFF
10/11/2019,09:00:00,SOL-TNK-5,ON
10/11/2019,15:15:00,SOL-TNK-5,OFF
10/11/2019,21:30:00,SOL-TNK-5,ON
10/12/2019,03:45:00,SOL-TNK-5,OFF
10/12/2019,10:00:00,SOL-TNK-5,ON
10/12/2019,16:15:00,SOL-TNK-5,OFF
10/12/2019,22:30:00,SOL-TNK-5,ON
10/13/2019,04:45:00,SOL-TNK-5,OFF
10/13/2019,11:00:00,SOL-TNK-5,ON
10/13/2019,17:15:00,SOL-TNK-5,OFF
10/13/2019,23:30:00,SOL-TNK-5,ON
10/14/2019,05:45:00,SOL-TNK-5,OFF
10/21/2019,14:16:52,SOL-TNK-5,ON
10/22/2019,11:47:21,SOL-TNK-5,ON
10/22/2019,11:59:57,SOL-TNK-5,ON
