Date,Probe,Type,Value
01/25/2020 00:00:00,Tmp-17,Temp,17.2
01/25/2020 00:00:00,pH-17,pH,7.92
01/25/2020 00:00:00,Tmp-18,Temp,17.5
01/25/2020 00:00:00,pH-18,pH,7.49
01/25/2020 00:00:00,Tmp-19,Temp,17.6
01/25/2020 00:00:00,pH-19,pH,7.87
01/25/2020 00:00:00,Tmp-20,Temp,17.6
01/25/2020 00:00:00,pH-20,pH,7.69
01/25/2020 00:10:00,Tmp-17,Temp,17.2
01/25/2020 00:10:00,pH-17,pH,7.92
01/25/2020 00:10:00,Tmp-18,Temp,17.5
01/25/2020 00:10:00,pH-18,pH,7.49
01/25/2020 00:10:00,Tmp-19,Temp,17.6
01/25/2020 00:10:00,pH-19,pH,7.87
01/25/2020 00:10:00,Tmp-20,Temp,17.6
01/25/2020 00:10:00,pH-20,pH,7.71
01/25/2020 00:20:00,Tmp-17,Temp,17.2
01/25/2020 00:20:00,pH-17,pH,7.92
01/25/2020 00:20:00,Tmp-18,Temp,17.5
01/25/2020 00:20:00,pH-18,pH,7.49
01/25/2020 00:20:00,Tmp-19,Temp,17.6
01/25/2020 00:20:00,pH-19,pH,7.87
01/25/2020 00:20:00,Tmp-20,Temp,17.6
01/25/2020 00:20:00,pH-20,pH,7.71
01/25/2020 00:30:00,Tmp-17,Temp,17.2
01/25/2020 00:30:00,pH-17,pH,7.92
01/25/2020 00:30:00,Tmp-18,Temp,17.5
01/25/2020 00:30:00,pH-18,pH,7.49
01/25/2020 00:30:00,Tmp-19,Temp,17.6
01/25/2020 00:30:00,pH-19,pH,7.87
01/25/2020 00:30:00,Tmp-20,Temp,17.6
01/25/2020 00:30:00,pH-20,pH,7.71
01/25/2020 00:40:00,Tmp-17,Temp,17.2
01/25/2020 00:40:00,pH-17,pH,7.89
01/25/2020 00:40:00,Tmp-18,Temp,17.5
01/25/2020 00:40:00,pH-18,pH,7.49
01/25/2020 00:40:00,Tmp-19,Temp,17.6
01/25/2020 00:40:00,pH-19,pH,7.87
01/25/2020 00:40:00,Tmp-20,Temp,17.6
01/25/2020 00:40:00,pH-20,pH,7.71
01/25/2020 00:50:00,Tmp-17,Temp,17.1
01/25/2020 00:50:00,pH-17,pH,7.86
01/25/2020 00:50:00,Tmp-18,Temp,17.5
01/25/2020 00:50:00,pH-18,pH,7.48
01/25/2020 00:50:00,Tmp-19,Temp,17.6
01/25/2020 00:50:00,pH-19,pH,7.86
01/25/2020 00:50:00,Tmp-20,Temp,17.6
01/25/2020 00:50:00,pH-20,pH,7.72
01/25/2020 01:00:00,Tmp-17,Temp,17.1
01/25/2020 01:00:00,pH-17,pH,7.83
01/25/2020 01:00:00,Tmp-18,Temp,17.5
01/25/2020 01:00:00,pH-18,pH,7.48
01/25/2020 01:00:00,Tmp-19,Temp,17.6
01/25/2020 01:00:00,pH-19,pH,7.83
01/25/2020 01:00:00,Tmp-20,Temp,17.6
01/25/2020 01:00:00,pH-20,pH,7.72
01/25/2020 01:10:00,Tmp-17,Temp,17.1
01/25/2020 01:10:00,pH-17,pH,7.83
01/25/2020 01:10:00,Tmp-18,Temp,17.5
01/25/2020 01:10:00,pH-18,pH,7.48
01/25/2020 01:10:00,Tmp-19,Temp,17.6
01/25/2020 01:10:00,pH-19,pH,7.79
01/25/2020 01:10:00,Tmp-20,Temp,17.6
01/25/2020 01:10:00,pH-20,pH,7.72
01/25/2020 01:20:00,Tmp-17,Temp,17.1
01/25/2020 01:20:00,pH-17,pH,7.84
01/25/2020 01:20:00,Tmp-18,Temp,17.5
01/25/2020 01:20:00,pH-18,pH,7.48
01/25/2020 01:20:00,Tmp-19,Temp,17.6
01/25/2020 01:20:00,pH-19,pH,7.78
01/25/2020 01:20:00,Tmp-20,Temp,17.7
01/25/2020 01:20:00,pH-20,pH,7.72
01/25/2020 01:30:00,Tmp-17,Temp,17.1
01/25/2020 01:30:00,pH-17,pH,7.84
01/25/2020 01:30:00,Tmp-18,Temp,17.5
01/25/2020 01:30:00,pH-18,pH,7.48
01/25/2020 01:30:00,Tmp-19,Temp,17.6
01/25/2020 01:30:00,pH-19,pH,7.78
01/25/2020 01:30:00,Tmp-20,Temp,17.7
01/25/2020 01:30:00,pH-20,pH,7.72
01/25/2020 01:40:00,Tmp-17,Temp,17.1
01/25/2020 01:40:00,pH-17,pH,7.85
01/25/2020 01:40:00,Tmp-18,Temp,17.5
01/25/2020 01:40:00,pH-18,pH,7.48
01/25/2020 01:40:00,Tmp-19,Temp,17.6
01/25/2020 01:40:00,pH-19,pH,7.78
01/25/2020 01:40:00,Tmp-20,Temp,17.7
01/25/2020 01:40:00,pH-20,pH,7.73
01/25/2020 01:50:00,Tmp-17,Temp,17.1
01/25/2020 01:50:00,pH-17,pH,7.85
01/25/2020 01:50:00,Tmp-18,Temp,17.5
01/25/2020 01:50:00,pH-18,pH,7.47
01/25/2020 01:50:00,Tmp-19,Temp,17.6
