Serial Number:20565259 --

"Date Time, GMT -0700","Temp, (*C)","Button Down","Button Up","Host Connect","EOF"
2020-07-22 13:10:00,23.18, , , , 
2020-07-22 13:20:00,16.08, , , , 
2020-07-22 13:30:00,15.37, , , , 
2020-07-22 13:40:00,15.24, , , , 
2020-07-22 13:50:00,15.21, , , , 
2020-07-22 14:00:00,15.16, , , , 
2020-07-22 14:10:00,15.12, , , , 
2020-07-22 14:20:00,15.10, , , , 
2020-07-22 14:30:00,15.10, , , , 
2020-07-22 14:40:00,15.00, , , , 
2020-07-22 14:50:00,15.01, , , , 
2020-07-22 15:00:00,15.00, , , , 
2020-07-22 15:10:00,14.97, , , , 
2020-07-22 15:20:00,14.98, , , , 
2020-07-22 15:30:00,15.00, , , , 
2020-07-22 15:40:00,14.98, , , , 
2020-07-22 15:50:00,14.96, , , , 
2020-07-22 16:00:00,15.25, , , , 
2020-07-22 16:10:00,15.53, , , , 
2020-07-22 16:20:00,15.61, , , , 
2020-07-22 16:30:00,15.62, , , , 
2020-07-22 16:40:00,15.62, , , , 
2020-07-22 16:50:00,15.63, , , , 
2020-07-22 17:00:00,15.63, , , , 
2020-07-22 17:10:00,15.65, , , , 
2020-07-22 17:20:00,15.65, , , , 
2020-07-22 17:30:00,15.58, , , , 
2020-07-22 17:40:00,15.60, , , , 
2020-07-22 17:50:00,15.58, , , , 
2020-07-22 18:00:00,15.59, , , , 
2020-07-22 18:10:00,15.57, , , , 
2020-07-22 18:20:00,15.58, , , , 
2020-07-22 18:30:00,15.59, , , , 
2020-07-22 18:40:00,15.59, , , , 
2020-07-22 18:50:00,15.60, , , , 
2020-07-22 19:00:00,15.61, , , , 
2020-07-22 19:10:00,15.61, , , , 
2020-07-22 19:20:00,15.65, , , , 
2020-07-22 19:30:00,15.65, , , , 
2020-07-22 19:40:00,15.63, , , , 
2020-07-22 19:50:00,15.63, , , , 
2020-07-22 20:00:00,15.61, , , , 
2020-07-22 20:10:00,15.58, , , , 
2020-07-22 20:20:00,15.59, , , , 
2020-07-22 20:30:00,15.57, , , , 
2020-07-22 20:40:00,15.56, , , , 
2020-07-22 20:50:00,15.53, , , , 
2020-07-22 21:00:00,15.55, , , , 
2020-07-22 21:10:00,15.53, , , , 
2020-07-22 21:20:00,15.54, , , , 
2020-07-22 21:30:00,15.55, , , , 
2020-07-22 21:40:00,15.53, , , , 
2020-07-22 21:50:00,15.53, , , , 
2020-07-22 22:00:00,15.53, , , , 
2020-07-22 22:10:00,15.60, , , , 
2020-07-22 22:20:00,15.62, , , , 
2020-07-22 22:30:00,15.61, , , , 
2020-07-22 22:40:00,15.60, , , , 
2020-07-22 22:50:00,15.57, , , , 
2020-07-22 23:00:00,15.56, , , , 
2020-07-22 23:10:00,15.57, , , , 
2020-07-22 23:20:00,15.58, , , , 
2020-07-22 23:30:00,15.61, , , , 
2020-07-22 23:40:00,15.63, , , , 
2020-07-22 23:50:00,15.62, , , , 
2020-07-23 00:00:00,15.63, , , , 
2020-07-23 00:10:00,15.62, , , , 
2020-07-23 00:20:00,15.65, , , , 
2020-07-23 00:30:00,15.58, , , , 
2020-07-23 00:40:00,15.55, , , , 
2020-07-23 00:50:00,15.57, , , , 
2020-07-23 01:00:00,15.55, , , , 
2020-07-23 01:10:00,15.54, , , , 
2020-07-23 01:20:00,15.52, , , , 
2020-07-23 01:30:00,15.53, , , , 
2020-07-23 01:40:00,15.55, , , , 
2020-07-23 01:50:00,15.55, , , , 
2020-07-23 02:00:00,15.57, , , , 
2020-07-23 02:10:00,15.57, , , , 
2020-07-23 02:20:00,15.60, , , , 
2020-07-23 02:30:00,15.59, , , , 
2020-07-23 02:40:00,15.58, , , , 
2020-07-23 02:50:00,15.57, , , , 
2020-07-23 03:00:00,15.57, , , , 
2020-07-23 03:10:00,15.54, , , , 
