Date,Hobo-Tmp-1,Hobo-Tmp-2,Hobo-Tmp-3,Hobo-Tmp-4,Hobo-Tmp-5,Hobo-Tmp-6,Hobo-Tmp-7,Hobo-Tmp-8,Hobo-Tmp-9,Hobo-Tmp-10,Hobo-Tmp-11,Hobo-Tmp-12,Hobo-Tmp-13,Hobo-Tmp-14,Hobo-Tmp-15,Hobo-Tmp-16,Hobo-Tmp-17,Hobo-Tmp-18,Hobo-Tmp-19,Hobo-Tmp-20
2020-08-26T18:09:00Z,13.55,15.07,14.98,NA,13.68,14.96,15.02,16.55,13.54,15.23,14.99,16.5,13.61,15.09,14.98,16.44,13.61,15,15.24,16.29
2020-08-26T18:10:00Z,13.52,15.09,14.99,16.36,13.6,14.96,15,16.55,13.56,15.22,15,16.5,13.61,15.09,14.96,16.43,13.61,15.02,15.22,16.26
2020-08-26T18:11:00Z,13.5,15.1,14.95,16.32,13.64,14.97,14.99,16.52,13.54,15.23,14.98,16.47,13.61,15.09,14.97,16.43,13.61,15.01,15.19,16.26
2020-08-26T18:12:00Z,13.5,15.1,14.93,16.34,13.68,14.97,14.97,16.52,13.54,15.21,14.98,16.46,13.61,15.11,14.96,16.44,13.61,15.02,15.24,16.24
2020-08-26T18:13:00Z,13.47,15.11,14.91,16.32,13.64,14.97,14.97,16.51,13.56,15.19,14.99,16.45,13.62,15.1,14.95,16.43,13.6,15.02,15.19,16.22
2020-08-26T18:14:00Z,13.47,15.09,14.89,16.31,13.64,14.96,14.98,16.48,13.55,15.19,14.96,16.44,13.61,15.09,14.92,16.37,13.59,15.04,15.19,16.2
2020-08-26T18:15:00Z,13.47,15.08,14.89,16.3,13.64,14.99,14.98,16.46,13.55,15.18,14.96,16.41,13.6,15.08,14.91,16.37,13.59,15.04,15.19,16.21
2020-08-26T18:16:00Z,13.45,15.09,14.88,16.3,13.6,14.99,14.96,16.45,13.54,15.17,14.92,16.41,13.61,15.1,14.92,16.35,13.6,15.03,15.19,16.18
2020-08-26T18:17:00Z,13.46,15.04,14.87,16.27,13.68,14.96,14.95,16.44,13.54,15.16,14.93,16.39,13.61,15.09,14.93,16.35,13.61,15.02,15.18,16.17
2020-08-26T18:18:00Z,13.45,15.09,14.85,16.26,13.64,14.98,14.96,16.4,13.54,15.14,14.91,16.37,13.6,15.09,14.91,16.33,13.62,15.03,15.19,16.14
2020-08-26T18:19:00Z,13.44,15.06,14.84,16.25,13.64,14.96,14.91,16.37,13.54,15.13,14.88,16.36,13.59,15.08,14.91,16.32,13.61,15,15.18,16.12
2020-08-26T18:20:00Z,13.43,15.08,14.84,16.24,13.64,14.93,14.93,16.35,13.55,15.12,14.87,16.34,13.61,15.04,14.89,16.28,13.61,15,15.17,16.13
2020-08-26T18:21:00Z,13.44,15.04,14.84,16.24,13.64,14.96,14.92,16.36,13.55,15.13,14.88,16.33,13.62,15.06,14.85,16.25,13.61,15.02,15.16,16.1
2020-08-26T18:22:00Z,13.44,15.07,14.82,16.21,13.6,14.96,14.89,16.33,13.52,15.11,14.87,16.32,13.61,15.07,14.88,16.24,13.61,15.02,15.16,16.1
2020-08-26T18:23:00Z,13.43,15.09,14.83,16.19,13.64,14.95,14.89,16.3,13.52,15.1,14.85,16.28,13.6,15.1,14.87,16.21,13.6,15,15.12,16.06
2020-08-26T18:24:00Z,13.4,15.08,14.81,16.19,13.64,15,14.89,16.29,13.55,15.11,14.86,16.26,13.61,15.09,14.84,16.21,13.6,15,15.14,16.05
2020-08-26T18:25:00Z,13.4,15.11,14.8,16.17,13.64,14.97,14.87,16.26,13.54,15.09,14.85,16.25,13.6,15.11,14.85,16.18,13.59,15.03,15.12,16.04
2020-08-26T18:26:00Z,13.43,15.08,14.78,16.16,13.6,14.97,14.87,16.24,13.53,15.09,14.84,16.24,13.61,15.09,14.84,16.15,13.61,15.03,15.13,16.02
2020-08-26T18:27:00Z,13.4,15.09,14.77,16.13,13.6,14.96,14.86,16.21,13.53,15.07,14.84,16.21,13.59,15.09,14.82,16.14,13.6,15.04,15.12,16.02
2020-08-26T18:28:00Z,13.41,15.07,14.79,16.13,13.64,14.96,14.84,16.18,13.51,15.09,14.82,16.19,13.58,15.09,14.81,16.13,13.6,15.04,15.11,15.98
2020-08-26T18:29:00Z,13.4,15.07,14.77,16.11,13.6,14.98,14.86,16.18,13.52,15.04,14.81,16.18,13.61,15.09,14.82,16.11,13.58,15.06,15.09,15.96
2020-08-26T18:30:00Z,13.4,15.08,14.77,16.08,13.64,14.98,14.83,16.17,13.54,15.06,14.82,16.17,13.61,15.08,14.82,16.07,13.6,15.06,15.09,15.95
2020-08-26T18:31:00Z,13.4,15.03,14.75,16.07,13.6,14.96,14.82,16.13,13.54,15.04,14.79,16.16,13.61,15.06,14.78,16.08,13.61,15.07,15.08,15.92
2020-08-26T18:32:00Z,13.4,15.04,14.74,16.06,13.6,14.95,14.81,16.13,13.53,15.03,14.78,16.14,13.61,15.04,14.79,16.06,13.58,15.04,15.08,15.92
2020-08-26T18:33:00Z,13.4,15.04,14.73,16.03,13.6,14.96,14.81,16.12,13.52,15.01,14.79,16.14,13.61,15.06,14.78,16.04,13.59,15.04,15.04,15.89
2020-08-26T18:34:00Z,13.38,15.04,14.74,16.02,13.6,14.96,14.81,16.1,13.52,15.01,14.78,16.1,13.61,15.07,14.75,16.01,13.6,15.04,15.06,15.88
2020-08-26T18:35:00Z,13.4,15.06,14.73,16,13.64,14.96,14.79,16.1,13.52,15.02,14.78,16.08,13.6,15.08,14.75,16.01,13.6,15.03,15.04,15.86
2020-08-26T18:36:00Z,13.4,15.06,14.71,15.99,13.6,14.98,14.79,16.04,13.54,15,14.75,16.06,13.6,15.09,14.77,15.99,13.59,15.04,15.02,15.85
2020-08-26T18:37:00Z,13.41,15.09,14.72,15.95,13.6,14.97,14.78,16.04,13.51,15,14.74,16.04,13.56,15.11,14.75,15.99,13.61,15.02,15.04,15.84
2020-08-26T18:38:00Z,13.39,15.08,14.69,15.95,13.6,14.98,14.78,16.02,13.52,14.97,14.75,16.03,13.61,15.11,14.73,15.95,13.6,15.03,15.03,15.83
2020-08-26T18:39:00Z,13.38,15.08,14.7,15.91,13.6,14.96,14.74,16.01,13.52,15,14.73,16.02,13.59,15.11,14.73,15.93,13.61,15.01,15.02,15.81
2020-08-26T18:40:00Z,13.39,15.07,14.69,15.9,13.55,14.96,14.74,15.98,13.53,15.02,14.72,16.01,13.58,15.09,14.72,15.93,13.58,15.02,14.99,15.78
2020-08-26T18:41:00Z,13.4,15.08,14.68,15.89,13.55,14.96,14.75,15.98,13.52,15.01,14.7,16,13.61,15.09,14.72,15.9,13.59,15.02,15,15.77
2020-08-26T18:42:00Z,13.38,15.06,14.66,15.87,13.6,14.94,14.75,15.93,13.52,15.01,14.7,15.97,13.58,15.09,14.7,15.88,13.6,15.04,14.99,15.75
2020-08-26T18:43:00Z,13.4,15.06,14.66,15.85,13.6,14.95,14.72,15.93,13.51,15.02,14.7,15.92,13.6,15.07,14.69,15.89,13.58,15.03,14.99,15.75
2020-08-26T18:44:00Z,13.4,15.04,14.67,15.85,13.6,14.96,14.72,15.91,13.52,15.01,14.7,15.93,13.59,15.07,14.69,15.84,13.59,15.04,14.98,15.72
2020-08-26T18:45:00Z,13.38,15.04,14.67,15.83,13.55,14.96,14.7,15.89,13.51,15.01,14.69,15.91,13.56,15.08,14.68,15.83,13.6,15.03,14.96,15.71
2020-08-26T18:46:00Z,13.39,15.04,14.65,15.78,13.55,14.96,14.72,15.89,13.51,15.01,14.69,15.9,13.61,15.06,14.68,15.82,13.59,15.07,14.96,15.7
2020-08-26T18:47:00Z,13.39,15.06,14.63,15.78,13.55,14.99,14.7,15.85,13.51,14.99,14.68,15.86,13.6,15.07,14.67,15.81,13.59,15.04,14.96,15.68
2020-08-26T18:48:00Z,13.4,15.07,14.63,15.78,13.6,14.98,14.7,15.85,13.52,15.02,14.68,15.86,13.59,15.08,14.66,15.8,13.59,15.07,14.94,15.68
2020-08-26T18:49:00Z,13.39,15.08,14.63,15.75,13.6,14.98,14.69,15.85,13.51,15.01,14.65,15.85,13.6,15.11,14.65,15.77,13.56,15.04,14.95,15.66
2020-08-26T18:50:00Z,13.39,15.09,14.62,15.74,13.55,14.97,14.67,15.82,13.52,15,14.64,15.86,13.6,15.13,14.66,15.75,13.6,15.03,14.91,15.66
2020-08-26T18:51:00Z,13.39,15.09,14.59,15.72,13.6,14.97,14.68,15.8,13.52,15.01,14.65,15.82,13.59,15.11,14.62,15.74,13.58,15.04,14.95,15.63
2020-08-26T18:52:00Z,13.38,15.09,14.6,15.72,13.55,14.96,14.66,15.78,13.51,14.98,14.63,15.8,13.61,15.1,14.62,15.72,13.58,15.04,14.91,15.61
2020-08-26T18:53:00Z,13.38,15.07,14.6,15.71,13.6,14.95,14.66,15.76,13.48,15,14.64,15.81,13.58,15.11,14.6,15.71,13.59,15.03,14.92,15.58
