Date,Hobo-Tmp-1,Hobo-Tmp-2,Hobo-Tmp-3,Hobo-Tmp-4,Hobo-Tmp-5,Hobo-Tmp-6,Hobo-Tmp-7,Hobo-Tmp-8,Hobo-Tmp-9,Hobo-Tmp-10,Hobo-Tmp-11,Hobo-Tmp-12,Hobo-Tmp-13,Hobo-Tmp-14,Hobo-Tmp-15,Hobo-Tmp-16,Hobo-Tmp-17,Hobo-Tmp-18,Hobo-Tmp-19,Hobo-Tmp-20
2020-08-17T00:00:00Z,13.4,14.55,13.1,14.2,13.51,14.52,12.92,14.28,13.45,14.41,13.23,14.34,13.52,14.59,13.2,14.29,13.51,14.53,13.08,14.38
2020-08-17T00:01:00Z,13.41,14.54,13.1,14.18,13.51,14.5,12.92,14.28,13.44,14.41,13.21,14.34,13.53,14.59,13.22,14.28,13.52,14.53,13.09,14.37
2020-08-17T00:02:00Z,13.43,14.54,13.08,14.19,13.43,14.49,12.9,14.27,13.44,14.42,13.21,14.32,13.51,14.59,13.2,14.24,13.54,14.52,13.08,14.35
2020-08-17T00:03:00Z,13.44,14.52,13.08,14.17,13.43,14.51,12.92,14.25,13.44,14.43,13.23,14.32,13.52,14.59,13.21,14.25,13.55,14.51,13.06,14.33
2020-08-17T00:04:00Z,13.39,14.52,13.08,14.18,13.43,14.51,12.89,14.24,13.44,14.42,13.21,14.29,13.49,14.62,13.2,14.26,13.56,14.48,13.06,14.33
2020-08-17T00:05:00Z,13.38,14.5,13.07,14.18,13.43,14.5,12.88,14.24,13.44,14.43,13.19,14.33,13.49,14.59,13.18,14.26,13.58,14.49,13.06,14.32
2020-08-17T00:06:00Z,13.38,14.51,13.06,14.18,13.47,14.52,12.89,14.26,13.45,14.4,13.21,14.34,13.47,14.62,13.17,14.24,13.56,14.48,13.05,14.32
2020-08-17T00:07:00Z,13.37,14.53,13.08,14.19,13.47,14.52,12.9,14.28,13.48,14.41,13.24,14.34,13.47,14.62,13.18,14.24,13.6,14.49,13.06,14.34
2020-08-17T00:08:00Z,13.36,14.53,13.08,14.2,13.51,14.54,12.89,14.28,13.48,14.4,13.21,14.35,13.47,14.62,13.19,14.28,13.62,14.49,13.07,14.36
2020-08-17T00:09:00Z,13.37,14.55,13.09,14.2,13.51,14.52,12.92,14.28,13.49,14.4,13.22,14.33,13.47,14.59,13.2,14.29,13.61,14.51,13.07,14.35
2020-08-17T00:10:00Z,13.35,14.55,13.1,14.2,13.47,14.52,12.93,14.3,13.47,14.43,13.23,14.35,13.49,14.6,13.2,14.28,13.6,14.52,13.08,14.36
2020-08-17T00:11:00Z,13.34,14.55,13.08,14.21,13.51,14.52,12.91,14.29,13.44,14.41,13.23,14.33,13.51,14.6,13.22,14.3,13.6,14.54,13.09,14.37
2020-08-17T00:12:00Z,13.36,14.53,13.09,14.2,13.47,14.51,12.9,14.28,13.44,14.42,13.22,14.32,13.51,14.59,13.18,14.27,13.58,14.52,13.11,14.37
2020-08-17T00:13:00Z,13.35,14.53,13.09,14.19,13.43,14.5,12.92,14.27,13.44,14.42,13.23,14.29,13.52,14.6,13.23,14.28,13.55,14.52,13.1,14.38
