Date,Source,TempC
2019-12-09T11:00:00Z,Hobo-Tmp-1,15.69
2019-12-09T11:00:00Z,Hobo-Tmp-2,15.19
2019-12-09T11:00:00Z,Mean.Temp,15.44
2019-12-09T11:10:00Z,Hobo-Tmp-1,15.57
2019-12-09T11:10:00Z,Hobo-Tmp-2,14.83
2019-12-09T11:10:00Z,Mean.Temp,15.2
2019-12-09T11:20:00Z,Hobo-Tmp-1,15.55
2019-12-09T11:20:00Z,Hobo-Tmp-2,14.84
2019-12-09T11:20:00Z,Mean.Temp,15.19
2019-12-09T11:30:00Z,Hobo-Tmp-1,15.55
2019-12-09T11:30:00Z,Hobo-Tmp-2,14.98
2019-12-09T11:30:00Z,Mean.Temp,15.26
2019-12-09T11:40:00Z,Hobo-Tmp-1,15.55
2019-12-09T11:40:00Z,Hobo-Tmp-2,15.04
2019-12-09T11:40:00Z,Mean.Temp,15.3
2019-12-09T11:50:00Z,Hobo-Tmp-1,15.57
2019-12-09T11:50:00Z,Hobo-Tmp-2,15.08
2019-12-09T11:50:00Z,Mean.Temp,15.33
2019-12-09T12:00:00Z,Hobo-Tmp-1,15.58
2019-12-09T12:00:00Z,Hobo-Tmp-2,15.15
2019-12-09T12:00:00Z,Mean.Temp,15.37
2019-12-09T12:10:00Z,Hobo-Tmp-1,15.57
2019-12-09T12:10:00Z,Hobo-Tmp-2,15.22
2019-12-09T12:10:00Z,Mean.Temp,15.39
2019-12-09T12:20:00Z,Hobo-Tmp-1,15.58
2019-12-09T12:20:00Z,Hobo-Tmp-2,15.26
2019-12-09T12:20:00Z,Mean.Temp,15.42
2019-12-09T12:30:00Z,Hobo-Tmp-1,15.58
2019-12-09T12:30:00Z,Hobo-Tmp-2,15.3
2019-12-09T12:30:00Z,Mean.Temp,15.44
2019-12-09T12:40:00Z,Hobo-Tmp-1,15.57
2019-12-09T12:40:00Z,Hobo-Tmp-2,15.36
2019-12-09T12:40:00Z,Mean.Temp,15.46
2019-12-09T12:50:00Z,Hobo-Tmp-1,15.57
2019-12-09T12:50:00Z,Hobo-Tmp-2,15.39
2019-12-09T12:50:00Z,Mean.Temp,15.48
2019-12-09T13:00:00Z,Hobo-Tmp-1,15.58
2019-12-09T13:00:00Z,Hobo-Tmp-2,15.43
2019-12-09T13:00:00Z,Mean.Temp,15.51
2019-12-09T13:10:00Z,Hobo-Tmp-1,15.59
2019-12-09T13:10:00Z,Hobo-Tmp-2,15.46
2019-12-09T13:10:00Z,Mean.Temp,15.53
2019-12-09T13:20:00Z,Hobo-Tmp-1,15.6
2019-12-09T13:20:00Z,Hobo-Tmp-2,15.46
2019-12-09T13:20:00Z,Mean.Temp,15.53
2019-12-09T13:30:00Z,Hobo-Tmp-1,15.58
2019-12-09T13:30:00Z,Hobo-Tmp-2,15.48
2019-12-09T13:30:00Z,Mean.Temp,15.53
2019-12-09T13:40:00Z,Hobo-Tmp-1,15.57
2019-12-09T13:40:00Z,Hobo-Tmp-2,15.47
2019-12-09T13:40:00Z,Mean.Temp,15.52
2019-12-09T13:50:00Z,Hobo-Tmp-1,15.55
2019-12-09T13:50:00Z,Hobo-Tmp-2,15.52
2019-12-09T13:50:00Z,Mean.Temp,15.53
2019-12-09T14:00:00Z,Hobo-Tmp-1,15.53
2019-12-09T14:00:00Z,Hobo-Tmp-2,15.52
2019-12-09T14:00:00Z,Mean.Temp,15.52
2019-12-09T14:10:00Z,Hobo-Tmp-1,15.53
2019-12-09T14:10:00Z,Hobo-Tmp-2,15.49
2019-12-09T14:10:00Z,Mean.Temp,15.51
2019-12-09T14:20:00Z,Hobo-Tmp-1,15.54
2019-12-09T14:20:00Z,Hobo-Tmp-2,15.51
2019-12-09T14:20:00Z,Mean.Temp,15.52
2019-12-09T14:30:00Z,Hobo-Tmp-1,15.58
2019-12-09T14:30:00Z,Hobo-Tmp-2,15.49
2019-12-09T14:30:00Z,Mean.Temp,15.54
2019-12-09T14:40:00Z,Hobo-Tmp-1,15.62
2019-12-09T14:40:00Z,Hobo-Tmp-2,15.54
2019-12-09T14:40:00Z,Mean.Temp,15.58
2019-12-09T14:50:00Z,Hobo-Tmp-1,15.62
2019-12-09T14:50:00Z,Hobo-Tmp-2,15.51
2019-12-09T14:50:00Z,Mean.Temp,15.56
2019-12-09T15:00:00Z,Hobo-Tmp-1,15.66
2019-12-09T15:00:00Z,Hobo-Tmp-2,15.55
2019-12-09T15:00:00Z,Mean.Temp,15.6
2019-12-09T15:10:00Z,Hobo-Tmp-1,15.66
2019-12-09T15:10:00Z,Hobo-Tmp-2,15.56
2019-12-09T15:10:00Z,Mean.Temp,15.61
2019-12-09T15:20:00Z,Hobo-Tmp-1,15.66
2019-12-09T15:20:00Z,Hobo-Tmp-2,15.56
2019-12-09T15:20:00Z,Mean.Temp,15.61
2019-12-09T15:30:00Z,Hobo-Tmp-1,15.69
2019-12-09T15:30:00Z,Hobo-Tmp-2,15.57
2019-12-09T15:30:00Z,Mean.Temp,15.63
2019-12-09T15:40:00Z,Hobo-Tmp-1,15.69
2019-12-09T15:40:00Z,Hobo-Tmp-2,15.56
2019-12-09T15:40:00Z,Mean.Temp,15.62
2019-12-09T15:50:00Z,Hobo-Tmp-1,15.71
2019-12-09T15:50:00Z,Hobo-Tmp-2,15.58
2019-12-09T15:50:00Z,Mean.Temp,15.65
2019-12-09T16:00:00Z,Hobo-Tmp-1,15.73
2019-12-09T16:00:00Z,Hobo-Tmp-2,15.57
2019-12-09T16:00:00Z,Mean.Temp,15.65
2019-12-09T16:10:00Z,Hobo-Tmp-1,15.75
2019-12-09T16:10:00Z,Hobo-Tmp-2,15.57
2019-12-09T16:10:00Z,Mean.Temp,15.66
2019-12-09T16:20:00Z,Hobo-Tmp-1,15.76
2019-12-09T16:20:00Z,Hobo-Tmp-2,15.56
2019-12-09T16:20:00Z,Mean.Temp,15.66
2019-12-09T16:30:00Z,Hobo-Tmp-1,15.76
2019-12-09T16:30:00Z,Hobo-Tmp-2,15.55
2019-12-09T16:30:00Z,Mean.Temp,15.66
2019-12-09T16:40:00Z,Hobo-Tmp-1,15.78
2019-12-09T16:40:00Z,Hobo-Tmp-2,15.54
2019-12-09T16:40:00Z,Mean.Temp,15.66
2019-12-09T16:50:00Z,Hobo-Tmp-1,15.81
2019-12-09T16:50:00Z,Hobo-Tmp-2,15.52
2019-12-09T16:50:00Z,Mean.Temp,15.66
2019-12-09T17:00:00Z,Hobo-Tmp-1,15.83
2019-12-09T17:00:00Z,Hobo-Tmp-2,15.49
2019-12-09T17:00:00Z,Mean.Temp,15.66
2019-12-09T17:10:00Z,Hobo-Tmp-1,15.88
2019-12-09T17:10:00Z,Hobo-Tmp-2,15.46
2019-12-09T17:10:00Z,Mean.Temp,15.67
2019-12-09T17:20:00Z,Hobo-Tmp-1,15.87
2019-12-09T17:20:00Z,Hobo-Tmp-2,15.44
2019-12-09T17:20:00Z,Mean.Temp,15.66
2019-12-09T17:30:00Z,Hobo-Tmp-1,15.92
2019-12-09T17:30:00Z,Hobo-Tmp-2,15.4
2019-12-09T17:30:00Z,Mean.Temp,15.66
2019-12-09T17:40:00Z,Hobo-Tmp-1,15.94
2019-12-09T17:40:00Z,Hobo-Tmp-2,15.38
2019-12-09T17:40:00Z,Mean.Temp,15.66
2019-12-09T17:50:00Z,Hobo-Tmp-1,15.94
2019-12-09T17:50:00Z,Hobo-Tmp-2,15.3
2019-12-09T17:50:00Z,Mean.Temp,15.62
2019-12-09T18:00:00Z,Hobo-Tmp-1,15.96
2019-12-09T18:00:00Z,Hobo-Tmp-2,15.27
2019-12-09T18:00:00Z,Mean.Temp,15.61
2019-12-09T18:10:00Z,Hobo-Tmp-1,15.98
2019-12-09T18:10:00Z,Hobo-Tmp-2,15.21
2019-12-09T18:10:00Z,Mean.Temp,15.59
2019-12-09T18:20:00Z,Hobo-Tmp-1,15.99
2019-12-09T18:20:00Z,Hobo-Tmp-2,15.13
2019-12-09T18:20:00Z,Mean.Temp,15.56
2019-12-09T18:30:00Z,Hobo-Tmp-1,15.98
2019-12-09T18:30:00Z,Hobo-Tmp-2,15.09
2019-12-09T18:30:00Z,Mean.Temp,15.53
2019-12-09T18:40:00Z,Hobo-Tmp-1,15.96
2019-12-09T18:40:00Z,Hobo-Tmp-2,15.04
2019-12-09T18:40:00Z,Mean.Temp,15.5
2019-12-09T18:50:00Z,Hobo-Tmp-1,16
2019-12-09T18:50:00Z,Hobo-Tmp-2,15
2019-12-09T18:50:00Z,Mean.Temp,15.5
2019-12-09T19:00:00Z,Hobo-Tmp-1,15.98
2019-12-09T19:00:00Z,Hobo-Tmp-2,14.98
2019-12-09T19:00:00Z,Mean.Temp,15.48
2019-12-09T19:10:00Z,Hobo-Tmp-1,15.98
2019-12-09T19:10:00Z,Hobo-Tmp-2,14.96
2019-12-09T19:10:00Z,Mean.Temp,15.47
2019-12-09T19:20:00Z,Hobo-Tmp-1,15.99
2019-12-09T19:20:00Z,Hobo-Tmp-2,14.94
2019-12-09T19:20:00Z,Mean.Temp,15.46
2019-12-09T19:30:00Z,Hobo-Tmp-1,15.99
2019-12-09T19:30:00Z,Hobo-Tmp-2,14.92
2019-12-09T19:30:00Z,Mean.Temp,15.45
2019-12-09T19:40:00Z,Hobo-Tmp-1,15.99
2019-12-09T19:40:00Z,Hobo-Tmp-2,14.88
2019-12-09T19:40:00Z,Mean.Temp,15.44
2019-12-09T19:50:00Z,Hobo-Tmp-1,15.99
2019-12-09T19:50:00Z,Hobo-Tmp-2,14.87
2019-12-09T19:50:00Z,Mean.Temp,15.43
2019-12-09T20:00:00Z,Hobo-Tmp-1,15.98
2019-12-09T20:00:00Z,Hobo-Tmp-2,14.85
2019-12-09T20:00:00Z,Mean.Temp,15.41
2019-12-09T20:10:00Z,Hobo-Tmp-1,15.99
2019-12-09T20:10:00Z,Hobo-Tmp-2,14.83
2019-12-09T20:10:00Z,Mean.Temp,15.41
2019-12-09T20:20:00Z,Hobo-Tmp-1,15.99
2019-12-09T20:20:00Z,Hobo-Tmp-2,14.81
2019-12-09T20:20:00Z,Mean.Temp,15.4
2019-12-09T20:30:00Z,Hobo-Tmp-1,15.97
2019-12-09T20:30:00Z,Hobo-Tmp-2,14.77
2019-12-09T20:30:00Z,Mean.Temp,15.37
2019-12-09T20:40:00Z,Hobo-Tmp-1,15.94
2019-12-09T20:40:00Z,Hobo-Tmp-2,14.76
2019-12-09T20:40:00Z,Mean.Temp,15.35
2019-12-09T20:50:00Z,Hobo-Tmp-1,15.94
2019-12-09T20:50:00Z,Hobo-Tmp-2,14.72
2019-12-09T20:50:00Z,Mean.Temp,15.33
2019-12-09T21:00:00Z,Hobo-Tmp-1,15.94
2019-12-09T21:00:00Z,Hobo-Tmp-2,14.66
2019-12-09T21:00:00Z,Mean.Temp,15.3
2019-12-09T21:10:00Z,Hobo-Tmp-1,15.96
2019-12-09T21:10:00Z,Hobo-Tmp-2,14.64
2019-12-09T21:10:00Z,Mean.Temp,15.3
2019-12-09T21:20:00Z,Hobo-Tmp-1,15.96
2019-12-09T21:20:00Z,Hobo-Tmp-2,14.58
2019-12-09T21:20:00Z,Mean.Temp,15.27
2019-12-09T21:30:00Z,Hobo-Tmp-1,15.93
2019-12-09T21:30:00Z,Hobo-Tmp-2,14.54
2019-12-09T21:30:00Z,Mean.Temp,15.24
2019-12-09T21:40:00Z,Hobo-Tmp-1,15.94
2019-12-09T21:40:00Z,Hobo-Tmp-2,14.52
2019-12-09T21:40:00Z,Mean.Temp,15.23
2019-12-09T21:50:00Z,Hobo-Tmp-1,15.91
2019-12-09T21:50:00Z,Hobo-Tmp-2,14.49
2019-12-09T21:50:00Z,Mean.Temp,15.2
2019-12-09T22:00:00Z,Hobo-Tmp-1,15.91
2019-12-09T22:00:00Z,Hobo-Tmp-2,14.44
2019-12-09T22:00:00Z,Mean.Temp,15.18
2019-12-09T22:10:00Z,Hobo-Tmp-1,15.9
2019-12-09T22:10:00Z,Hobo-Tmp-2,14.41
2019-12-09T22:10:00Z,Mean.Temp,15.16
2019-12-09T22:20:00Z,Hobo-Tmp-1,15.9
2019-12-09T22:20:00Z,Hobo-Tmp-2,14.4
2019-12-09T22:20:00Z,Mean.Temp,15.15
2019-12-09T22:30:00Z,Hobo-Tmp-1,15.88
2019-12-09T22:30:00Z,Hobo-Tmp-2,14.37
2019-12-09T22:30:00Z,Mean.Temp,15.13
2019-12-09T22:40:00Z,Hobo-Tmp-1,15.89
2019-12-09T22:40:00Z,Hobo-Tmp-2,14.33
2019-12-09T22:40:00Z,Mean.Temp,15.11
2019-12-09T22:50:00Z,Hobo-Tmp-1,15.86
2019-12-09T22:50:00Z,Hobo-Tmp-2,14.26
2019-12-09T22:50:00Z,Mean.Temp,15.06
2019-12-09T23:00:00Z,Hobo-Tmp-1,15.89
2019-12-09T23:00:00Z,Hobo-Tmp-2,14.25
2019-12-09T23:00:00Z,Mean.Temp,15.07
2019-12-09T23:10:00Z,Hobo-Tmp-1,15.86
2019-12-09T23:10:00Z,Hobo-Tmp-2,14.22
2019-12-09T23:10:00Z,Mean.Temp,15.04
2019-12-09T23:20:00Z,Hobo-Tmp-1,15.86
2019-12-09T23:20:00Z,Hobo-Tmp-2,14.2
2019-12-09T23:20:00Z,Mean.Temp,15.03
2019-12-09T23:30:00Z,Hobo-Tmp-1,15.86
2019-12-09T23:30:00Z,Hobo-Tmp-2,14.19
2019-12-09T23:30:00Z,Mean.Temp,15.03
2019-12-09T23:40:00Z,Hobo-Tmp-1,15.85
2019-12-09T23:40:00Z,Hobo-Tmp-2,14.19
2019-12-09T23:40:00Z,Mean.Temp,15.02
2019-12-09T23:50:00Z,Hobo-Tmp-1,15.86
2019-12-09T23:50:00Z,Hobo-Tmp-2,14.19
2019-12-09T23:50:00Z,Mean.Temp,15.03
2019-12-10T00:00:00Z,Hobo-Tmp-1,15.85
2019-12-10T00:00:00Z,Hobo-Tmp-2,14.2
2019-12-10T00:00:00Z,Mean.Temp,15.03
2019-12-10T00:10:00Z,Hobo-Tmp-1,15.86
2019-12-10T00:10:00Z,Hobo-Tmp-2,14.2
2019-12-10T00:10:00Z,Mean.Temp,15.03
2019-12-10T00:20:00Z,Hobo-Tmp-1,15.85
2019-12-10T00:20:00Z,Hobo-Tmp-2,14.22
2019-12-10T00:20:00Z,Mean.Temp,15.03
2019-12-10T00:30:00Z,Hobo-Tmp-1,15.84
2019-12-10T00:30:00Z,Hobo-Tmp-2,14.19
